               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12592,            0.024473,                   0,          0.00083333,            0.054054,          0.00046958,          4.6958e-05,             0.12114,            0.028556,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.11974,            0.024386,                   0,           0.0016667,             0.10811,          0.00093616,          0.00013792,             0.11453,            0.030181,                   0,            0.086495,            0.001495,            0.001495
                   2,             0.11071,            0.024211,                   0,             0.00125,            0.081081,          0.00074079,          0.00019233,              0.1129,            0.029388,                   0,            0.079285,           0.0022848,           0.0022848
                   3,             0.10374,            0.024116,                   0,           0.0033333,             0.21622,           0.0022226,          0.00053947,             0.10213,            0.033026,                   0,            0.072069,           0.0030693,           0.0030693
                   4,            0.093988,            0.024143,                   0,           0.0060231,             0.24324,            0.014566,            0.002776,            0.091339,            0.034347,                   0,            0.064849,           0.0038485,           0.0038485
                   5,            0.086999,            0.025075,                   0,             0.01716,             0.45946,            0.047755,           0.0080243,            0.092804,            0.029969,                   0,            0.057622,           0.0046225,           0.0046225
                   6,            0.084887,            0.021123,                   0,            0.027936,             0.83784,            0.045913,             0.01023,            0.089324,            0.028988,                   0,            0.050391,           0.0053911,           0.0053911
                   7,             0.08077,            0.020272,                   0,            0.035411,             0.75676,             0.13487,            0.034869,            0.085619,            0.030634,                   0,            0.043154,           0.0061545,           0.0061545
                   8,            0.081955,            0.019636,                   0,             0.16773,             0.64865,             0.35696,            0.079838,            0.077144,            0.029141,                   0,            0.035913,           0.0069126,           0.0069126
                   9,            0.074189,            0.019641,                   0,             0.53544,             0.48649,             0.50211,              0.1568,            0.068234,            0.027682,                   0,            0.028665,           0.0076654,           0.0076654
                  10,            0.074794,            0.020895,                   0,             0.45055,              0.2973,             0.45672,             0.15813,            0.077215,            0.023921,                   0,            0.021413,           0.0084129,           0.0084129
                  11,            0.074975,            0.017759,                   0,              0.4718,             0.48649,             0.48698,             0.22473,            0.074382,            0.024788,                   0,            0.014155,           0.0091552,           0.0091552
                  12,            0.076327,            0.017162,                   0,             0.42341,             0.48649,             0.34536,             0.09208,            0.069411,            0.025445,                   0,            0.009604,            0.009604,            0.009604
                  13,            0.073859,            0.016955,                   0,             0.48201,             0.51351,             0.53835,             0.17298,            0.067074,             0.02447,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.070415,            0.019197,                   0,             0.47258,             0.59459,             0.47744,             0.15065,              0.0711,             0.02446,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.068501,            0.017892,                   0,              0.3583,             0.43772,             0.33899,             0.10763,            0.069221,            0.023294,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.067197,             0.01605,                   0,             0.49911,             0.51351,             0.49557,             0.16498,            0.063471,            0.023392,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.062227,             0.01414,                   0,             0.61962,             0.52852,             0.60717,              0.2339,            0.069795,            0.021511,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.068108,            0.014224,                   0,             0.61277,             0.62162,             0.60395,             0.23327,            0.063329,            0.022093,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.065983,            0.015312,                   0,             0.67429,             0.75676,             0.65722,             0.24359,            0.059654,             0.02247,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.061825,             0.01302,                   0,             0.80429,             0.77763,              0.8145,             0.29697,            0.056358,            0.023157,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.060645,            0.014078,                   0,             0.52151,             0.73652,             0.58718,             0.19806,            0.062968,            0.022393,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.060449,            0.014955,                   0,             0.75181,             0.72973,             0.76471,             0.31951,            0.059158,            0.022841,                   0,            0.009307,            0.009307,            0.009307
                  23,              0.0575,            0.013253,                   0,              0.5793,             0.70719,             0.65159,              0.1898,            0.058046,            0.022053,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.058944,            0.014365,                   0,             0.52186,             0.86486,             0.64199,             0.18149,            0.060711,            0.024118,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.061742,            0.012436,                   0,              0.7493,             0.72973,             0.79314,             0.32004,            0.052811,            0.021386,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.055398,            0.013306,                   0,             0.70798,             0.78378,             0.75224,             0.31098,            0.054572,            0.020988,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.057076,            0.012711,                   0,              0.6294,              0.7027,             0.73562,             0.26093,            0.053822,            0.021177,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.054652,            0.013551,                   0,             0.85583,              0.7027,              0.8595,             0.33221,             0.05333,             0.02034,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.056227,            0.014929,                   0,             0.88213,             0.80916,             0.82935,             0.35569,            0.050799,            0.020426,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.05312,            0.012523,                   0,             0.72324,             0.78378,             0.76086,             0.29014,            0.054638,            0.020963,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.053278,            0.012376,                   0,             0.80482,             0.78021,             0.85102,             0.38049,            0.049911,            0.020054,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.052501,            0.012644,                   0,             0.76288,              0.7027,             0.70087,             0.23149,            0.052645,            0.020638,                   0,            0.008977,            0.008977,            0.008977
                  33,              0.0512,            0.011602,                   0,             0.79108,             0.75676,              0.7839,             0.28933,             0.05376,            0.019112,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.052243,            0.012297,                   0,             0.83171,             0.80159,             0.87646,             0.36753,             0.05072,            0.019753,                   0,            0.008911,            0.008911,            0.008911
